substance_id,name
1,"Liquid Extract From Viscum Album Subsp. Abietis Var Abies Alba (1:20), Extraction Solvents: Water For Injection And Sodium Chloride (99.91:0.09)"
2,"Vitamin A Concentrate (Oily Form), Synthetic"
3,Acetylsalicylic Acid
4,Hypericum Perforatum L.
5,"Tincture From Agnus Castus Fruit (1:10), Extraction Solvent: Ethanol 69.5% V/V"
6,Benzocaine
7,Dexamethasone Base
8,Dexamethasone Sodium Phosphate
9,Estriol
10,"Reproterol Hydrochloride, Sodium Cromoglicate"
11,"Chlorphenamine Maleate, Phenylephrine Bitartrate, Paracetamol"
12,"Abacavir, Lamivudine"
13,Abacavir
14,"Zidovudine, Abacavir, Lamivudine"
15,"Abacavir Sulfate, Lamivudine"
16,Dabigatran Etexilate
17,Pefloxacin
18,Pefloxacin Mesilate Dihydrate
19,Paracetamol
20,Rivaroxaban
21,Insulin Glargine
22,Apixaban
23,Atorvastatin
24,Fentanyl
25,Brivaracetam
26,Abiraterone Acetate
27,"Amoxicillin, Clavulanic Acid"
28,Tranylcypromine
29,Erythromycin
30,Erythromycin Ethylsuccinate
31,Erythromycin Lactobionate
32,Erythromycin Stearate
33,"Soft Extract Of Capsicum, (4-7: 1), Corresponding To 4.8 Mg Of Capsaicinoids, Calculated As Capsaicin. Extraction Solvent: Ethanol 80% (V/V)"
34,Capsaicin
35,"Soft Extract From Cayenne Pepper Fruit (4–7:1), Extraction Solvent: Ethanol 80% (V/V)"
36,Cayenne Pepper Soft Extract
37,Nonivamide
38,Paracetamol Bp
39,"Fluid Extract From Gentian Root (1: 1), Extraction Solvent: Ethanol 50% (V / V), Fluid Extract Of Wormwood (1:1), Extraction Solvent: Ethanol 20% (V/V), Fluid Extract From Melissa Leaf (1: 1), Extraction Solvent: Ethanol 20% (V/V), Fluid Extract From Acor"
40,"Sodium Hydrogen Carbonate, Potassium Chloride, Sodium Chloride, Macrogol 3350"
41,"Lactic Acid, Salicylic Acid"
42,Sildenafil Citrate
43,Idecabtagene Vicleucel
44,"Calcium, Magnesium"
45,Sildenafil
46,Amphotericin B
47,Aripiprazole
48,"Drospirenone, Ethinylestradiol"
49,Rosuvastatin Calcium
50,Prucalopride
51,"Lactose Monohydrate, Prucalopride Succinate"
52,Bendroflumethiazide
53,Naltrexone Hydrochloride
54,Irbesartan
55,Amlodipine
56,Bevacizumab
57,Fentanyl Citrate
58,"Castor Oil, Virgin"
59,Sennae Folium
60,"Castor Oil, Refined"
61,Magnesium Sulfate Heptahydrate
62,"Senna Pods, Tinnevelly"
63,Metformin Hydrochloride
64,"Fluocinolone Acetonide, Framycetin"
65,"Retinol Palmitate, Riboflavin Sodium Phosphate, Thiamine Hydrochloride, Ascorbic Acid, Ergocalciferol, Nicotinamide, Pyridoxine Hydrochloride"
66,"Retinol Palmitate, Thiamine Hydrochloride, Ascorbic Acid, Ergocalciferol, Nicotinamide, Riboflavin, Pyridoxine Hydrochloride"
67,Ibuprofen
68,Abietic Acid
69,Esomeprazole Magnesium Dihydrate
70,Isoconazole Nitrate
71,Moxifloxacin
72,"Neomycin, Chlorobutanol, Menthol, Camphor, Cineole, Sylvestris Pine Oil"
73,Moxifloxacin Hydrochloride
74,Bimatoprost
75,Abiraterone
76,Prednisolone
77,Amlodipine Besilate
78,Bilastine
79,Hydrocortisone
80,Viscum Album Abietis Ex Herba Recente Col. D30
81,Extract Of Fresh Fir Mistletoe Herb
82,"Extract Of Phoradendron Leucarpum Herb (1:50), Extraction Solvent: Sodium Monohydrogen Phosphate Dihydrate, Ascorbic Acid And Water For Injection (2.03:0.34:97.63)"
83,Extract Of Fresh Almond Mistletoe Herb
84,Extract Of Fresh Birch Mistletoe Herb
85,Extract Of Fresh Hawthorn Mistletoe Herb
86,Extract Of Fresh Ash Mistletoe Herb
87,Viscum Album Fraxini Ex Herba Recente Col. D10
88,Viscum Album Fraxini Ex Herba Recente Col. D20
89,Viscum Album Fraxini Ex Herba Recente Col. D30
90,"Extract Of Apple Tree Mistletoe (1:50), Extraction Solvents: Sodium Monohydrogen Phosphate Dihydrate, Ascorbic Acid, Water For Injections (2.03:0.34:97.63)"
91,Extract Of Fresh Pine Mistletoe Herb
92,Extract Of Fresh Oak Mistletoe Herb
93,Viscum Album Quercus Ex Herba Recente Col. D6
94,Ginkgo Biloba Extract
95,"Echinacea Dil. D2, Gelsemium Sempervirens Dil. D4, Ammi Visnaga Dil. D 2, Blatta Orientalis Urt., Cetraria Islandica Dil. D 3, Datura Stramonium Dil. D 4, Euspongia Officinalis Dil. D 3, Natrium Sulfuricum Dil. D 4, Selenicereus Grandiflorus Dil. D 1, Mat"
96,Bortezomib
97,Brimonidine Tartrate
98,"Fluocinonide, Hexetidine, Ruscogenin"
99,Paclitaxel Albumin-Bound
100,"Fluticasone Propionate, Formoterol Fumarate Dihydrate"
101,"Dry Extract Of Hederae Folium (5-7.5:1), Extraction Solvent: Ethanol 30% (M/M)"
102,Ibandronic Acid
103,Vortioxetine
104,Ambroxol Hydrochloride
105,"Respiratory Syncytial Virus, Subgroup A, Stabilized Prefusion F Protein 847a, Respiratory Syncytial Virus, Subgroup B, Stabilized Prefusion F Protein 847b"
106,Epoetin Alfa
107,Sodium Valproate
108,"Artemisia Absinthium Ex Herba Siccata, Ethanol. Infusum Ø, Terebinthina Laricina Dil. D3"
109,Ezetimibe
110,"Terebinthina Laricina, Terebinthinae Aetheroleum Rectificatum"
111,Betulae Folium
112,Sage Leaf (Salvia Officinalis)
113,Thyme
114,Matricariae Flos
115,Melissa Leaf
116,Oxycodone Hydrochloride
117,Beta-Alanine
118,Paclitaxel
119,Febuxostat
120,Potassium Citrate
121,Travoprost
122,Acamprosate Calcium
123,Ramipril
124,Risedronate Sodium
125,"Calcium Carbonate, Cholecalciferol Concentrate"
126,Acarbose
127,Carvedilol
128,Benzyl Benzoate
129,"Dermatophagoides Pteronyssinus, Dermatophagoides Farinae"
130,Phenylephrine Hydrochloride
131,"Pseudoephedrine Hydrochloride, Triprolidine Hydrochloride"
132,Azelastine Hydrochloride
133,Oxymetazoline Hydrochloride
134,Dextromethorphan Hydrobromide
135,"Pseudoephedrine Hydrochloride, Ibuprofen"
136,"Phenylephrine Hydrochloride, Ibuprofen"
137,Acetylcysteine
138,Filgrastim
139,"Colecalciferol, Calcium"
140,Iohexol
141,"Glucose, Anhydrous, Sodium Hydrogen Carbonate, Magnesium Chloride Hexahydrate, Potassium Chloride, Sodium Chloride, Calcium Chloride Dihydrate"
142,"Sodium Hydrogen Carbonate, Magnesium Chloride Hexahydrate, Potassium Chloride, Sodium Chloride, Calcium Chloride Dihydrate, D-Glucose"
143,"Sodium Hydrogen Carbonate, Magnesium Chloride Hexahydrate, Sodium Chloride, Calcium Chloride Dihydrate"
144,Levothyroxine Sodium
145,Metronidazole
146,"Bisoprolol Fumarate, Ramipril"
147,Acebutolol Hydrochloride
148,Acebutolol
149,"Diclofenac Sodium, Paracetamol"
150,Aceclofenac
151,"Hydrochlorothiazide, Lisinopril"
152,"Captopril, Hydrochlorothiazide"
153,"Enalapril Maleate, Hydrochlorothiazide"
154,"Acetylsalicylic Acid, Caffeine"
155,"Adapalene, Benzoyl Peroxide"
156,Cefoperazone
157,Castor Oil
158,Citalopram Hydrochloride
159,Ethinylestradiol
160,Penfluridol
161,Acemetacin
162,Lisinopril
163,Acetazolamide
164,Glucosamine Hydrochloride
165,Acenocoumarol
166,Captopril
167,Ciprofloxacin
168,"Ciprofloxacin, Fluocinolone Acetonide"
169,Methylprednisolone Aceponate
170,Aminocaproic Acid
171,Allopurinol Sodium
172,"Benzoic Acid, Malic Acid, Salicylic Acid"
173,"(S)-Lactic Acid, Salicylic Acid"
174,"Amlodipine Besilate, Perindopril Arginine"
175,Piracetam
176,Terlipressin
177,Cyproterone Acetate
178,Eslicarbazepine Acetate
179,Eslicarbazepine
180,Glatiramer Acetate
181,Potassium Acetate
182,Sodium Acetate
183,Acetazolamide Bp
184,Acetazolamide Ph. Eur.
185,Acetazolamide Sodium
186,Enalapril Maleate
187,Cetirizine Dihydrochloride
188,"Acetylcholine Chloride, Water For Injection"
189,Lysine Aspirin
190,Calcium-Sodium-Hydrogencitrate (6:6:3:7)
191,Acetylleucine
192,"Paracetamol, Acetylsalicylic Acid, Caffeine"
193,Acetylsalicylic Acid Ph. Eur.
194,Aciclovir
195,Folic Acid
196,Folic Acid Hydrate
197,"Aesculus, Cortex, Ethanol. Decoctum Dil. D3, Antimonit Dil. D8, Gentiana Lutea, Ethanol. Decoctum Dil. D3, Hamamelis, Ethanol. Decoctum Dil. D3, Millefolium Dil. D1"
198,Aciclovir Sodium
199,Aciclovir Ph. Eur.
200,Aciclovir Bp
201,Acitretin
202,"Alendronic Acid, Colecalciferol"
