medication_id,ema_product_code,product_name,form,authorization_holder
1,,A,Subcutaneous Use,Helixor Heilmittel Gmbh
2,,A,Subcutaneous Use,Helixor Heilmittel Gmbh
3,,A 313,Cutaneous Use,Laboratoires Pharma Developpement
4,,A 313,Oral Use,Laboratoires Pharma Developpement
5,,A.A.S,Oral Use,"Laboratorio Stada, S.L."
6,,A.A.S.,Oral Use,"Laboratorio Stada, S.L."
7,,A.Vogel Hyperiforce,Oral Use,A.Vogel B.V.
8,,A.Vogel Premenstrual Relief Pms,Oral Use,A.Vogel Limited
9,,Aaa Sore Throat,Oromucosal Use,Manx Healthcare Ltd
10,,Aacidexam,"Intraarticular Use ,Intramuscular Use ,Intravenous Use ,Rectal Use",Aspen Pharma Trading Limited
11,,Aacidexam,"Intraarticular Use ,Intramuscular Use ,Intravenous Use",Aspen Pharma Trading Limited
12,,Aacidexam,"Intraarticular Use ,Intramuscular Use ,Intravenous Use ,Rectal Use",Aspen Pharma Trading Limited
13,,Aacifemine,Oral Use,Aspen Pharma Trading Limited
14,,Aacifemine,Oral Use,Aspen Pharma Trading Limited
15,,Aacifemine,Vaginal Use,Aspen Pharma Trading Limited
16,,Aacifemine,Vaginal Use,Aspen Pharma Trading Limited
17,,Aacifemine,Vaginal Use,Aspen Pharma Trading Limited
18,,Aarane N,Inhalation Use,Hormosan Pharma Gmbh
19,,Aas,Oral Use,"Perrigo Portugal, Lda."
20,,Abacat,Oral Use,"Tarbis Farma, S.L."
21,,Abacavir / Lamivudine Auxilia,Oral Use,Auxilia Pharma
22,,Abacavir / Lamivudine Biogaran,Oral Use,Biogaran
23,,Abacavir + Lamivudina Aurovitas,Oral Use,"Generis Farmacêutica, S.A."
24,,Abacavir + Lamivudina Farmoz,Oral Use,"Farmoz - Sociedade Técnico Medicinal, S.A."
25,,Abacavir + Lamivudina Mylan,Oral Use,Viatris Limited
26,,Abacavir + Lamivudine Sandoz,Oral Use,Sandoz Gmbh
27,,Abacavir Accord,Oral Use,Accord Healthcare B.V.
28,,Abacavir Accord,Oral Use,Accord Healthcare B.V.
29,,Abacavir Arrow,Oral Use,Arrow Generiques
30,,Abacavir Aurobindo,Oral Use,Aurobindo Pharma (Malta) Limited
31,,Abacavir E Lamivudina Aurobindo,Oral Use,Aurobindo Pharma (Italia) S.R.L.
32,,Abacavir E Lamivudina Sun,Oral Use,Sun Pharma France
33,,Abacavir Farmoz,Oral Use,"Farmoz - Sociedade Técnico Medicinal, S.A."
34,,Abacavir Generis,Oral Use,"Generis Farmacêutica, S.A."
35,,Abacavir Milpharm,Oral Use,Milpharm Limited
36,,Abacavir Mylan,Oral Use,Mylan S.P.A.
37,,Abacavir Mylan,Oral Use,Viatris Limited
38,,Abacavir Mylan,Oral Use,Generics [uk] Limited
39,,Abacavir Sandoz,Oral Use,Sandoz
40,,Abacavir Sandoz,Oral Use,Sandoz B.V.
41,,Abacavir Sulfate / Lamivudine Aurobindo,Oral Use,Aurobindo Pharma B.V.
42,,Abacavir Tarbis,Oral Use,"Tarbis Farma, S.L."
43,,Abacavir Viatris,Oral Use,Viatris Sante
44,,Abacavir/Lamivudin Al,Oral Use,Aliud Pharma Gmbh
45,,Abacavir/Lamivudin Aurobindo,Oral Use,Puren Pharma Gmbh & Co. Kg
46,,Abacavir/Lamivudin Basics,Oral Use,Basics Gmbh
47,,Abacavir/Lamivudin Beta,Oral Use,Betapharm Arzneimittel Gmbh
48,,Abacavir/Lamivudin Heumann,Oral Use,Heumann Pharma Gmbh & Co. Generica Kg
49,,Abacavir/Lamivudin Hormosan,Oral Use,Hormosan Pharma Gmbh
50,,Abacavir/Lamivudin Medical Valley,Oral Use,Medical Valley Invest Ab
51,,Abacavir/Lamivudin Mylan,Oral Use,Mylan Ab
52,,Abacavir/Lamivudin Mylan,Oral Use,Mylan Ab
53,,Abacavir/Lamivudin Mylan,Oral Use,Mylan Ab
54,,Abacavir/Lamivudin Mylan Pharma,Oral Use,Mylan Ab
55,,Abacavir/Lamivudin Mylan Pharma,Oral Use,Mylan Germany Gmbh
56,,Abacavir/Lamivudin Puren,Oral Use,Puren Pharma Gmbh & Co. Kg
57,,Abacavir/Lamivudin Ratiopharm,Oral Use,Teva B.V
58,,Abacavir/Lamivudin Ratiopharm,Oral Use,Ratiopharm Gmbh
59,,Abacavir/Lamivudin Sandoz,Oral Use,Sandoz Gmbh
60,,Abacavir/Lamivudin Stada,Oral Use,Stada Arzneimittel Gmbh
61,,Abacavir/Lamivudin Teva,Oral Use,Teva Gmbh
62,,Abacavir/Lamivudin Teva,Oral Use,Teva Nederland B.V.
63,,Abacavir/Lamivudin Viatris,Oral Use,Viatris Limited
64,,Abacavir/Lamivudin Viatris,Oral Use,Viatris Limited
65,,Abacavir/Lamivudin Viatris,Oral Use,Mylan Ab
66,,Abacavir/Lamivudină,Oral Use,Terapia S.A.
67,,Abacavir/Lamivudina Aurovitas,Oral Use,"Aurovitas Spain,s.A.U."
68,,Abacavir/Lamivudina Dr. Reddys,Oral Use,"Reddy Pharma Iberia, S.A."
69,,Abacavir/Lamivudina Glenmark,Oral Use,Glenmark Arzneimittel Gmbh
70,,Abacavir/Lamivudina Kern Pharma,Oral Use,"Kern Pharma, S.L."
71,,Abacavir/Lamivudina Macleods,Oral Use,"Macleods Pharma España, S.L.U"
72,,Abacavir/Lamivudină Mylan,Oral Use,Mylan Pharmaceuticals Limited
73,,Abacavir/Lamivudina Tarbis,Oral Use,"Tarbis Farma, S.L."
74,,Abacavir/Lamivudina Teva,Oral Use,"Teva Pharma S.L.U.,"
75,,Abacavir/Lamivudina Viatris,Oral Use,Viatris Limited
76,,Abacavir/Lamivudină Viatris,Oral Use,Viatris Limited
77,,Abacavir/Lamivudina/Zidovudina Mylan,Oral Use,Mylan S.P.A.
78,,Abacavir/Lamivudine Accord,Oral Use,Accord Healthcare France Sas
79,,Abacavir/Lamivudine Accord,Oral Use,Accord Healthcare B.V.
