department_id	department_name	admission_year	ken_code	ken_description	insurance_provider_id	insurance_provider_name	hospitalization_count	total_base_cost	total_extra_charge_due_to_los_excess	total_revenue
1	Καρδιολογία	2025	G01Μα	Χειρουργικές επεμβάσεις που δεν σχετίζονται με κάποια κύρια διάγνωση με καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές	1	ΕΟΠΥΥ	1	5709.00	0.00	5709.00
1	Καρδιολογία	2025	G01Μβ	Χειρουργικές επεμβάσεις που δεν σχετίζονται με κάποια κύρια διάγνωση με σοβαρής βαρύτητας συνυπάρχουσες παθήσεις-επιπλοκές	1	ΕΟΠΥΥ	1	3573.00	0.00	3573.00
1	Καρδιολογία	2025	G01Χ	Χειρουργικές επεμβάσεις που δεν σχετίζονται με κάποια κύρια διάγνωση χωρίς συνυπάρχουσες παθήσεις-επιπλοκές	1	ΕΟΠΥΥ	1	2182.00	727.33	2909.33
1	Καρδιολογία	2025	S01Α	Ενδοσκοπήσεις για διάγνωση για άλλη χρήση υπηρεσιών υγείας, ίδια ημέρα	1	ΕΟΠΥΥ	1	540.00	1620.00	2160.00
1	Καρδιολογία	2025	S01Μ	Χειρουργικές επεμβάσεις για διαγνώσεις που σχετίζονται με άλλη χρήση υπηρεσιών υγείας με σοβαρές ή καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές	5	Ανασφάλιστος	1	2413.00	0.00	2413.00
1	Καρδιολογία	2025	S21Χ	Σημεία και συμπτώματα, της ίδιας ημέρας	1	ΕΟΠΥΥ	1	232.00	2552.00	2784.00
1	Καρδιολογία	2025	S23Μ	Follow up για χειρουργικές και ιατρικές υπηρεσίες και φροντίδα με καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές	2	ΕΦΚΑ	1	2039.00	0.00	2039.00
1	Καρδιολογία	2025	S23Χ	Follow up για χειρουργικές και ιατρικές υπηρεσίες και φροντίδα χωρίς καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές	3	Ιδιωτική Ασφάλεια Α	1	848.00	0.00	848.00
1	Καρδιολογία	2025	S24Μ	Λοιποί παράγοντες επηρεασμού της κατάστασης της υγείας	4	Ιδιωτική Ασφάλεια Β	1	770.00	0.00	770.00
1	Καρδιολογία	2025	S24Χ	Λοιποί παράγοντες επηρεασμού της κατάστασης της υγείας, την ίδια ημέρα	5	Ανασφάλιστος	1	216.00	648.00	864.00
1	Καρδιολογία	2025	S25Α	Συγγενείς ανωμαλίες και προβλήματα από την νεογνική περίοδο	1	ΕΟΠΥΥ	1	1082.00	270.50	1352.50
1	Καρδιολογία	2025	W10Α	Μη εφικτό να ταξινομηθούν, μικρής βαρύτητας	2	ΕΦΚΑ	1	2014.00	2013.99	4027.99
1	Καρδιολογία	2025	W11Α	Μη αποδεκτή κύρια διάγνωση, μικρής βαρύτητας	3	Ιδιωτική Ασφάλεια Α	1	991.00	2477.50	3468.50
1	Καρδιολογία	2025	W13Α	Διάγνωση για νεογνά, που δεν είναι συμβατή με την ηλικία/βάρος, μικρής βαρύτητας	4	Ιδιωτική Ασφάλεια Β	1	685.00	2055.00	2740.00
1	Καρδιολογία	2025	Α01Μ	Μείζονες επεμβάσεις θώρακος με καταστροφικές συνυπάρχουσες παθήσεις- επιπλοκές	5	Ανασφάλιστος	1	4701.00	0.00	4701.00
