substance_id	substance_name	allergic_patient_count	medication_count
1	Liquid Extract From Viscum Album Subsp. Abietis Var Abies Alba (1:20), Extraction Solvents: Water For Injection And Sodium Chloride (99.91:0.09)	77	2
3	Acetylsalicylic Acid	1	177
2	Vitamin A Concentrate (Oily Form), Synthetic	1	2
4	Hypericum Perforatum L.	1	1
67	Ibuprofen	0	383
396	Diclofenac Sodium	0	369
304	Water For Injection	0	366
2869	Nicotine	0	329
391	Tramadol Hydrochloride	0	317
409	Sodium Chloride	0	317
563	Methotrexate	0	295
2077	Ondansetron	0	284
4409	Furosemide	0	251
96	Bortezomib	0	228
19	Paracetamol	0	224
827	Histamine Dihydrochloride	0	218
79	Hydrocortisone	0	192
548	Fluconazole	0	191
1476	Flurbiprofen	0	191
1813	Clindamycin	0	188
3045	Midazolam	0	185
2328	Lidocaine Hydrochloride	0	184
2553	Ceftriaxone	0	181
48	Drospirenone, Ethinylestradiol	0	180
116	Oxycodone Hydrochloride	0	179
699	Clotrimazole	0	179
137	Acetylcysteine	0	177
1244	Codeine Phosphate	0	177
1835	Mesalazine	0	173
24	Fentanyl	0	172
631	Oxygen	0	170
757	Mometasone Furoate	0	167
362	Insulin Human	0	165
1918	Enoxaparin Sodium	0	162
385	Melatonin	0	158
393	Colecalciferol	0	155
495	Olanzapine	0	155
5282	Gabapentin	0	150
1548	Cefuroxime	0	144
502	Desloratadine	0	143
256	Buprenorphine	0	142
211	Omeprazole	0	141
767	Ceftazidime	0	140
8	Dexamethasone Sodium Phosphate	0	139
365	Benzydamine Hydrochloride	0	139
27	Amoxicillin, Clavulanic Acid	0	138
300	Tadalafil	0	136
1527	Diazepam	0	132
8264	Ropivacaine Hydrochloride	0	131
549	Mirtazapine	0	127
972	Ketoprofen	0	125
1279	Dexamethasone	0	125
47	Aripiprazole	0	124
604	Progesterone	0	124
911	Amoxicillin	0	122
323	Xylometazoline Hydrochloride	0	121
9370	Teicoplanin	0	119
440	Dimethyl Fumarate	0	118
530	Voriconazole	0	118
