urgency_level	total_cases_by_urgency	avg_waiting_minutes_by_urgency	hospitalization_percentage_by_urgency	referred_department	referral_count_to_department	referral_percentage_within_urgency
1	70	20.00	85.71	Γαστρεντερολογική	20	33.33
1	70	20.00	85.71	Επείγοντα	20	33.33
1	70	20.00	85.71	Παιδιατρική	20	33.33
1	70	20.00	85.71	Χωρίς παραπομπή	0	0.00
2	70	20.00	85.71	Καρδιολογία	20	33.33
2	70	20.00	85.71	Ορθοπαιδική	20	33.33
2	70	20.00	85.71	Οφθαλμολογική	20	33.33
2	70	20.00	85.71	Χωρίς παραπομπή	0	0.00
3	70	20.00	85.71	Πνευμονολογική	20	33.33
3	70	20.00	85.71	Χειρουργική	20	33.33
3	70	20.00	85.71	ΩΡΛ	20	33.33
3	70	20.00	85.71	Χωρίς παραπομπή	0	0.00
4	70	20.00	85.71	Νευρολογική	20	33.33
4	70	20.00	85.71	Νεφρολογική	20	33.33
4	70	20.00	85.71	Παθολογία	20	33.33
4	70	20.00	85.71	Χωρίς παραπομπή	0	0.00
5	70	20.00	85.71	Ενδοκρινολογική	20	33.33
5	70	20.00	85.71	ΜΕΘ	20	33.33
5	70	20.00	85.71	Ουρολογική	20	33.33
5	70	20.00	85.71	Χωρίς παραπομπή	0	0.00
